Index,Temp,Umid,G320,G295,G270,G245,G220,G195,G170,G145,G120,G100
380,34.70,51.58,210786,329684,478952,659369,915512,1311140,1982575,3225197,6073772,8763841
381,34.70,51.60,210267,329049,482677,660645,916126,1309882,1981137,3236665,6117998,8820458
382,34.70,51.62,211701,331929,482677,653687,921070,1318738,1982575,3229011,6073772,8777927
383,34.71,51.59,209236,332900,487155,663212,921070,1322570,1994158,3232834,6060292,8799141
384,34.70,51.57,211439,332900,483361,660006,919210,1327715,1978266,3221392,6097506,8806235
385,34.69,51.60,211570,332900,481996,661285,922315,1326425,1989798,3242430,6117998,8849041
386,34.69,51.60,211178,331284,485423,662569,923563,1316195,1991249,3252084,6124860,8841878
387,34.67,51.61,212228,330643,486808,663212,921692,1325138,1998536,3263745,6159398,8928610
388,34.68,51.58,208980,332900,487851,664504,925441,1327715,2008828,3281394,6187311,8921318
389,34.67,51.59,209493,335848,483703,666450,922315,1326425,2013271,3275490,6169836,8957900
390,34.67,51.59,211964,335518,484390,666450,922938,1332900,2016244,3291282,6190818,8979995
391,34.66,51.64,210008,335518,489601,668407,930486,1331600,2008828,3289299,6166353,8957900
392,34.67,51.66,212757,333225,484390,665800,929220,1339438,2013271,3240506,6159398,8965253
393,34.67,51.65,213289,333225,489250,668407,926697,1334202,1992702,3255962,6159398,8943231
394,34.67,51.65,210267,336510,489601,665800,927326,1334202,2029732,3281394,6166353,8899511
395,34.67,51.65,211308,333550,490656,667754,933030,1342071,2028225,3263745,6183808,8943231
396,34.69,51.63,213556,334859,486114,669062,924188,1330302,2017734,3273526,6187311,8957900
397,34.68,51.63,212228,334531,487851,669062,927956,1335507,2010307,3303226,6201362,8972618
398,34.68,51.63,210786,333225,491009,669062,924814,1329007,2020720,3289299,6272588,9002198
399,34.67,51.63,213023,334204,486114,674350,929220,1336815,2023715,3307226,6247474,9031974
400,34.69,51.66,214630,334531,488900,666450,934307,1338125,2029732,3301229,6190818,8965253
401,34.68,51.66,211570,333550,490304,672357,935587,1342071,2032754,3283367,6215478,8950560
402,34.68,51.65,211570,334204,490656,670376,941393,1347368,2016244,3291282,6222560,8994785
403,34.66,51.66,213823,335518,492071,671035,926068,1339438,2025216,3283367,6229658,9046935
404,34.68,51.65,215443,335518,491363,667101,929852,1340753,2026720,3293266,6279800,9046935
405,34.68,51.65,210917,335188,492782,673020,938804,1347368,2032754,3289299,6247474,9017061
406,34.69,51.63,214900,334204,490656,674350,934946,1342071,2029732,3311237,6297905,9002198
407,34.67,51.63,211570,335848,492426,675016,937514,1340753,2035785,3319287,6294276,9107282
408,34.67,51.63,212625,338848,489952,675016,942042,1359442,2038825,3335505,6305176,9099695
409,34.66,51.67,213422,339185,492426,675016,942693,1352708,2044933,3309230,6330758,9107282
410,34.67,51.66,212096,339523,494208,676354,943344,1348699,2040349,3323326,6290651,9130120
411,34.67,51.66,214900,336179,493851,673684,942042,1351369,2037304,3303226,6312464,9099695
412,34.64,51.64,214765,339523,492426,675685,938158,1350033,2049537,3343674,6330758,9207081
413,34.64,51.68,216949,338512,495644,678370,945304,1358090,2058809,3351882,6375098,9230423
414,34.64,51.69,213023,340879,498539,679045,944649,1358090,2058809,3335505,6334429,9191585
415,34.65,51.73,213422,338848,497087,674350,946614,1360797,2060362,3366345,6375098,9199326
416,34.65,51.71,216674,338512,497812,683122,949247,1362155,2066599,3356002,6356547,9214848
417,34.64,51.74,213689,338512,498904,681758,944649,1363515,2061918,3374665,6393756,9191585
418,34.64,51.74,218058,340199,496365,681078,944649,1370358,2065036,3329404,6378820,9246050
419,34.63,51.78,215579,338848,495644,681078,955893,1360797,2069732,3380933,6349157,9230423
