Index,Temp,Umid,G320,G295,G270,G245,G220,G195,G170,G145,G120,G100
253,33.83,54.78,479289,741760,1128997,1669792,2572864,4216160,7000214,12215471,25954852,40255528
254,33.83,54.76,478281,741760,1120657,1673886,2577722,4225948,6995730,12249720,26047694,40404440
255,33.84,54.73,477612,742567,1116076,1690466,2572864,4190281,6960068,12201825,26063234,40255528
256,33.85,54.74,477946,741760,1117904,1670814,2572864,4203181,6960068,12195013,26078790,40255528
257,33.85,54.72,477946,740955,1114255,1678001,2572864,4193499,6982314,12249720,26109960,40107712
258,33.86,54.70,478281,741760,1132743,1691514,2582598,4206418,6986780,12181413,25862668,40255528
259,33.86,54.70,478952,738550,1134626,1682136,2570442,4216160,6964506,12195013,25893322,40218472
260,33.87,54.66,475615,736956,1117904,1685250,2558401,4199948,6964506,12215471,26016674,40329848
261,33.86,54.68,478281,740152,1120657,1688376,2572864,4232498,6977854,12154303,26235388,39997560
262,33.87,54.65,477278,737752,1129931,1675941,2565612,4199948,6955636,12181413,26047694,40367108
263,33.88,54.66,477946,740152,1114255,1680066,2572864,4196722,6982314,12263473,26032174,40218472
264,33.90,54.65,479289,740955,1130867,1691514,2565612,4206418,6964506,12195013,26063234,39997560
265,33.89,54.65,477278,737752,1142220,1674913,2565612,4171080,6951209,12201825,25755944,39997560
266,33.90,54.63,476945,740152,1116989,1685250,2560800,4196722,6946788,12140793,26001190,39997560
267,33.90,54.63,476612,740955,1130867,1694663,2558401,4216160,6933559,12181413,25970280,40255528
268,33.90,54.63,475615,739350,1112439,1690466,2577722,4225948,6964506,12256592,26078790,40107712
269,33.90,54.63,475615,742567,1129931,1682136,2565612,4193499,6973398,12256592,26063234,40107712
270,33.88,54.62,475284,740955,1144134,1680066,2570442,4212908,6968950,12284161,26047694,40441840
271,33.90,54.61,477278,740152,1137462,1696769,2568025,4209661,6977854,12222305,25740770,40034208
272,33.90,54.61,478952,739350,1119738,1678001,2570442,4209661,6951209,12208644,26047694,39924460
273,33.90,54.57,477946,743376,1116076,1687333,2565612,4190281,6933559,12195013,25877986,40070928
274,33.91,54.54,477278,749086,1125275,1683172,2563204,4190281,6924768,12107149,25954852,40070928
275,33.91,54.52,478281,740152,1123423,1672861,2563204,4193499,6915998,12154303,25847368,40107712
276,33.90,54.50,476279,739350,1114255,1681100,2570442,4183861,6937963,12161069,25908678,39924460
277,33.92,54.54,480977,748264,1123423,1675941,2565612,4216160,6942373,12167843,25924050,40292652
